Lfd.Nr.;PZN;Bezeichnung;Darr;Einheit;HerstKz;Rote Liste;Inhaltsstoff
9;2471293;Aldactone;Ilo;10X10 ml;Riems;DIURETIKA;Kalium canrenoat
10;6559984;Alveofact 45mg/Ml Abf108mg;Trs;1 St;Lyoma;ANTITUSSIVA/EXPEKTORANTIA;Surfactant
11;4744252;Aminopaed 10% Glas;Iff;20X100 ml;Baxte;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Aminosäuren
12;8014020;Aminopaed 10% Glas;Iff;10X250 ml;Baxte;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Aminosäuren
13;3986711;Aminopaed 10% Glas;Iff;6X1000 ml;Baxte;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Aminosäuren
14;8012942;Amoclav 400mg+57mg/5ml;Tsa;70 ml;Hexal;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin und Enzym-Inhibitoren
15;8018301;Amoxicillin Rat Comp 125ts;Tsa;100 ml;Ratio;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin und Enzym-Inhibitoren
16;8018318;Amoxicillin Rat Comp 250ts;Tsa;100 ml;Ratio;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin und Enzym-Inhibitoren
17;8013887;Amoxicillin Ratio C875/125;Fta;20 St;Ratio;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin und Enzym-Inhibitoren
18;8014125;Amoxihexal;Tsa;100 ml;Hexal;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin
19;8016727;Amoxihexal Forte;Tsa;100 ml;Hexal;ANTIBIOTIKA/ANTIINFEKTIVA;Amoxicillin
20;8012215;Ampicillin Ratio 0.5;Tss;10 St;Ratio;ANTIBIOTIKA/ANTIINFEKTIVA;Ampicillin
21;8012221;Ampicillin Ratio 1.0;Tss;10 St;Ratio;ANTIBIOTIKA/ANTIINFEKTIVA;Ampicillin
22;8019401;Ampicillin U Sulba 1g+500m;Tss;10 X 20 ml;Ibisq;ANTIBIOTIKA/ANTIINFEKTIVA;Ampicillin, Sulbactam
23;8018347;Ampuwa Freka;Iil;20X50 ml;Frese;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Wasser für Injektionszwecke
24;8018399;Ampuwa Freka;Ilo;20X100 ml;Frese;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Wasser für Injektionszwecke
25;4801694;Ampuwa F Spuelzw Plastipur;Inf;6X1000 ml;Frese;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Wasser für Injektionszwecke
26;8010050;Ampuwa Plastikfl;Inf;10X500 ml;Frese;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Wasser für Injektionszwecke
27;7817891;Antra Pro Infusione O Lsgm;Pif;5 St;Astra;MAGEN-DARM-MITTEL;Omeprazol
28;8016147;Aqua Ad Iniect Minipla Con;Amp;20X10 ml;Bbrau;INFUSIONS-/STANDARDINJEKTIONSLOESUNGEN;Wasser für Injektionszwecke
29;8013812;Arterenol 1ml;Amp;6X1 ml;Sanof;ANTIHYPOTONIKA;Norepinephrin
30;73016;Arterenol 25ml;Dfl;25 ml;Sanof;ANTIHYPOTONIKA;Norepinephrin
31;8013769;At Iii Thermoinak500immuno;Trs;10 ml;Baxal;ENZYMINHIBIT./ENZYMMANGEL/TRANSPORTPROT.;Antithrombin III
32;8003363;Atropin 0,1%;Atr;5 ml;Apom;OPHTHALMIKA;Atropin
